Player,Pos,Team,Conf,Year,G,Touchdowns_Rush,Touchdowns_Rec,Touchdowns_Int,Touchdowns_FR,Touchdowns_PR,Touchdowns_KR,Touchdowns_Oth,Touchdowns_Tot,Kicking_XPM,Kicking_FGM,Other_2PM,Other_Sfty,Pts
DJ Giddens,RB,Kansas State Wildcats ,Big 12,2023,13,10,3,0,0,0,0,0,13,0,0,0,0,78
Garrett Greene,QB,West Virginia Mountaineers ,Big 12,2023,12,13,0,0,0,0,0,0,13,0,0,0,0,78
Daijun Edwards,RB,Georgia Bulldogs ,SEC,2023,12,13,0,0,0,0,0,0,13,0,0,0,0,78
Jai Patel,K,Rutgers Scarlet Knights ,Big Ten,2023,12,0,0,0,0,0,0,0,0,33,15,0,0,78
Alex Raynor,K,Kentucky Wildcats ,SEC,2023,13,0,0,0,0,0,0,0,0,48,10,0,0,78
Carter Brown,K,Cincinnati Bearcats ,Big 12,2023,12,0,0,0,0,0,0,0,0,30,15,0,0,75
Isaiah Hankins,DL,Baylor Bears ,Big 12,2023,12,0,0,0,0,0,0,0,0,21,18,0,0,75
Jack Olsen,K,Northwestern Wildcats ,Big Ten,2023,13,0,0,0,0,0,0,0,0,33,14,0,0,75
Kyle Ferrie,S,Mississippi State Bulldogs ,SEC,2023,12,0,0,0,0,0,0,0,0,27,16,0,0,75
Drew Stevens,K,Iowa Hawkeyes ,Big Ten,2023,14,0,0,0,0,0,0,0,0,19,18,0,0,73
Jordan Waters,RB,Duke Blue Devils ,ACC,2023,13,12,0,0,0,0,0,0,12,0,0,0,0,72
Dillon Gabriel,QB,Oklahoma Sooners ,Big 12,2023,12,12,0,0,0,0,0,0,12,0,0,0,0,72
Braelon Allen,RB,Wisconsin Badgers ,Big Ten,2023,11,12,0,0,0,0,0,0,12,0,0,0,0,72
Roman Wilson,WR,Michigan Wolverines ,Big Ten,2023,15,0,12,0,0,0,0,0,12,0,0,0,0,72
Jalen Milroe,QB,Alabama Crimson Tide ,SEC,2023,13,12,0,0,0,0,0,0,12,0,0,0,0,72
Jonathan Weitz,K,Clemson Tigers ,ACC,2023,10,0,0,0,0,0,0,0,0,29,14,0,0,71
Liam Connor,K,Boston College Eagles ,ACC,2023,13,0,0,0,0,0,0,0,0,36,11,0,0,69
