Player,Pos,Team,Conf,Year,G,Receiving_Rec,Receiving_Yds,Receiving_Avg,Receiving_TD,Rushing_Att,Rushing_Yds,Rushing_Avg,Rushing_TD,Scrimmage_Plays,Scrimmage_Yds,Scrimmage_Avg,Scrimmage_TD
Roman Wilson,WR,Michigan Wolverines ,Big Ten,2023,15,48,789,16.4,12,1,10,10,0,49,799,16.3,12
Monaray Baldwin,WR,Baylor Bears ,Big 12,2023,12,38,623,16.4,4,3,17,5.7,0,41,640,15.6,4
Leon Johnson III,WR,Oklahoma State Cowboys ,Big 12,2023,10,33,539,16.3,1,0,0,,0,33,539,16.3,1
Jayce Brown,WR,Kansas State Wildcats ,Big 12,2023,10,27,437,16.2,3,4,3,0.8,0,31,440,14.2,3
Kaden Prather,WR,Maryland Terrapins ,Big Ten,2023,13,42,666,15.9,5,1,36,36,0,43,702,16.3,5
Ladd McConkey,WR,Georgia Bulldogs ,SEC,2023,9,30,478,15.9,2,2,38,19,1,32,516,16.1,3
Andrel Anthony,WR,Oklahoma Sooners ,Big 12,2023,6,27,429,15.9,1,0,0,,0,27,429,15.9,1
Marcus Rosemy-Jacksaint,WR,Georgia Bulldogs ,SEC,2023,13,34,535,15.7,4,0,0,,0,34,535,15.7,4
J.J. Jones,WR,North Carolina Tar Heels ,ACC,2023,13,46,711,15.5,3,0,0,,0,46,711,15.5,3
Adonai Mitchell,WR,Texas Longhorns ,Big 12,2023,14,55,845,15.4,11,2,1,0.5,0,57,846,14.8,11
Jalil Farooq,WR,Oklahoma Sooners ,Big 12,2023,13,45,694,15.4,2,17,95,5.6,0,62,789,12.7,2
Jacolby George,WR,Miami Hurricanes ,ACC,2023,13,57,864,15.2,8,1,14,14,1,58,878,15.1,9
Ja'Tavion Sanders,TE,Texas Longhorns ,Big 12,2023,14,45,682,15.2,2,1,12,12,0,46,694,15.1,2
Dayton Wade,WR,Ole Miss Rebels ,SEC,2023,13,55,830,15.1,4,7,25,3.6,0,62,855,13.8,4
Tai Felton,WR,Maryland Terrapins ,Big Ten,2023,13,48,723,15.1,6,1,16,16,0,49,739,15.1,6
Dane Key,WR,Kentucky Wildcats ,SEC,2023,13,42,636,15.1,6,0,0,,0,42,636,15.1,6
Umari Hatcher,WR,Syracuse Orange ,ACC,2023,13,32,482,15.1,3,0,0,,0,32,482,15.1,3
Ainias Smith,WR,Texas A&M Aggies ,SEC,2023,12,53,795,15,2,5,21,4.2,0,58,816,14.1,2
Johnny Wilson,WR,Florida State Seminoles ,ACC,2023,10,41,617,15,2,0,0,,0,41,617,15,2
Taylor Morin,WR,Wake Forest Demon Deacons ,ACC,2023,12,41,617,15,2,1,2,2,0,42,619,14.7,2
Bryson Green,WR,Wisconsin Badgers ,Big Ten,2023,11,32,480,15,2,0,0,,0,32,480,15,2
Caden Prieskorn,TE,Ole Miss Rebels ,SEC,2023,10,30,449,15,4,0,0,,0,30,449,15,4
Eric Singleton Jr.,WR,Georgia Tech Yellow Jackets ,ACC,2023,12,48,714,14.9,6,1,9,9,0,49,723,14.8,6
Ricky Pearsall,WR,Florida Gators ,SEC,2023,12,65,965,14.8,4,3,62,20.7,2,68,1027,15.1,6
Will Sheppard,WR,Vanderbilt Commodores ,SEC,2023,12,47,684,14.6,8,0,0,,0,47,684,14.6,8
Dequece Carter,WR,Indiana Hoosiers ,Big Ten,2023,12,27,395,14.6,3,1,1,1,0,28,396,14.1,3
Colston Loveland,TE,Michigan Wolverines ,Big Ten,2023,15,45,649,14.4,4,0,0,,0,45,649,14.4,4
Bryce Kirtz,WR,Northwestern Wildcats ,Big Ten,2023,12,49,701,14.3,5,0,0,,0,49,701,14.3,5
Bryson Nesbit,TE,North Carolina Tar Heels ,ACC,2023,12,41,585,14.3,5,0,0,,0,41,585,14.3,5
Xavier White,WR,Texas Tech Red Raiders ,Big 12,2023,13,39,556,14.3,1,4,3,0.8,0,43,559,13,1
Rashod Owens,WR,Oklahoma State Cowboys ,Big 12,2023,14,63,895,14.2,5,0,0,,0,63,895,14.2,5
Preston Fox,WR,West Virginia Mountaineers ,Big 12,2023,12,26,368,14.2,2,1,3,3,0,27,371,13.7,2
Luther Burden,,Missouri Tigers ,SEC,2023,13,86,1212,14.1,9,7,31,4.4,0,93,1243,13.4,9
Daniel Jackson,WR,Minnesota Golden Gophers ,Big Ten,2023,13,59,831,14.1,8,1,-5,-5,0,60,826,13.8,8
Jeshaun Jones,WR,Maryland Terrapins ,Big Ten,2023,13,56,790,14.1,4,1,-1,-1,0,57,789,13.8,4
Malachi Fields,WR,Virginia Cavaliers ,ACC,2023,12,58,811,14,5,1,-6,-6,0,59,805,13.6,5
Jordan Watkins,WR,Ole Miss Rebels ,SEC,2023,13,53,741,14,3,1,-9,-9,0,54,732,13.6,3
Cade Stover,TE,Ohio State Buckeyes ,Big Ten,2023,12,41,576,14,5,0,0,,0,41,576,14,5
Savion Williams,WR,TCU Horned Frogs ,Big 12,2023,11,41,573,14,4,11,62,5.6,0,52,635,12.2,4
Chris Bell,WR,Louisville Cardinals ,ACC,2023,14,29,407,14,2,0,0,,0,29,407,14,2
Theo Wease,WR,Missouri Tigers ,SEC,2023,13,49,682,13.9,6,0,0,,0,49,682,13.9,6
Isaiah Bond,WR,Alabama Crimson Tide ,SEC,2023,14,48,668,13.9,4,1,3,3,0,49,671,13.7,4
Ben Sinnott,TE,Kansas State Wildcats ,Big 12,2023,12,49,676,13.8,6,0,0,,0,49,676,13.8,6
Joe Griffin,,Boston College Eagles ,ACC,2023,12,25,345,13.8,1,0,0,,0,25,345,13.8,1
Casey Washington,WR,Illinois Fighting Illini ,Big Ten,2023,12,49,670,13.7,4,0,0,,0,49,670,13.7,4
Jamari Thrash,WR,Louisville Cardinals ,ACC,2023,12,63,858,13.6,6,1,12,12,1,64,870,13.6,7
Andrew Armstrong,WR,Arkansas Razorbacks ,SEC,2023,12,56,764,13.6,5,1,3,3,0,57,767,13.5,5
Chase Roberts,WR,Brigham Young Cougars ,Big 12,2023,12,42,573,13.6,5,2,12,6,0,44,585,13.3,5
Xavier Worthy,WR,Texas Longhorns ,Big 12,2023,14,75,1014,13.5,5,4,35,8.8,0,79,1049,13.3,5
