Player,School,Conf,Year,G,Receiving_Rec,Receiving_Yds,Receiving_Avg,Receiving_TD,Rushing_Att,Rushing_Yds,Rushing_Avg,Rushing_TD,Scrimmage_Plays,Scrimmage_Yds,Scrimmage_Avg,Scrimmage_TD
Luther Burden*,Missouri,SEC,2023,13,86,1212,14.1,9,7,31,4.4,0,93,1243,13.4,9
Daniel Jackson*,Minnesota,Big Ten,2023,13,59,831,14.1,8,1,-5,-5.0,0,60,826,13.8,8
Jeshaun Jones*,Maryland,Big Ten,2023,13,56,790,14.1,4,1,-1,-1.0,0,57,789,13.8,4
Malachi Fields,Virginia,ACC,2023,12,58,811,14.0,5,1,-6,-6.0,0,59,805,13.6,5
Jordan Watkins*,Ole Miss,SEC,2023,13,53,741,14.0,3,1,-9,-9.0,0,54,732,13.6,3
Cade Stover*,Ohio State,Big Ten,2023,12,41,576,14.0,5,0,0,,0,41,576,14.0,5
Savion Williams,TCU,Big 12,2023,11,41,573,14.0,4,11,62,5.6,0,52,635,12.2,4
Chris Bell*,Louisville,ACC,2023,14,29,407,14.0,2,0,0,,0,29,407,14.0,2
Theo Wease*,Missouri,SEC,2023,13,49,682,13.9,6,0,0,,0,49,682,13.9,6
Isaiah Bond*,Alabama,SEC,2023,14,48,668,13.9,4,1,3,3.0,0,49,671,13.7,4
Ben Sinnott*,Kansas State,Big 12,2023,12,49,676,13.8,6,0,0,,0,49,676,13.8,6
Joe Griffin*,Boston College,ACC,2023,12,25,345,13.8,1,0,0,,0,25,345,13.8,1
Casey Washington,Illinois,Big Ten,2023,12,49,670,13.7,4,0,0,,0,49,670,13.7,4
Jamari Thrash*,Louisville,ACC,2023,12,63,858,13.6,6,1,12,12.0,1,64,870,13.6,7
Andrew Armstrong,Arkansas,SEC,2023,12,56,764,13.6,5,1,3,3.0,0,57,767,13.5,5
Chase Roberts,Brigham Young,Big 12,2023,12,42,573,13.6,5,2,12,6.0,0,44,585,13.3,5
Xavier Worthy*,Texas,Big 12,2023,14,75,1014,13.5,5,4,35,8.8,0,79,1049,13.3,5
Jordan Moore*,Duke,ACC,2023,13,62,835,13.5,8,4,2,0.5,0,66,837,12.7,8
Xzavier Henderson,Cincinnati,Big 12,2023,12,58,782,13.5,3,0,0,,0,58,782,13.5,3
Tayvion Robinson*,Kentucky,SEC,2023,13,41,552,13.5,4,2,12,6.0,0,43,564,13.1,4
Evan Stewart*,Texas A&M,SEC,2023,8,38,514,13.5,4,1,-3,-3.0,0,39,511,13.1,4
Donaven McCulley,Indiana,Big Ten,2023,12,48,644,13.4,6,3,-1,-0.3,0,51,643,12.6,6
Deion Burks,Purdue,Big Ten,2023,12,47,629,13.4,7,4,12,3.0,0,51,641,12.6,7
Montorie Foster,Michigan State,Big Ten,2023,12,43,576,13.4,3,0,0,,0,43,576,13.4,3
Beaux Collins*,Clemson,ACC,2023,11,38,510,13.4,3,0,0,,0,38,510,13.4,3
Corey Crooms*,Minnesota,Big Ten,2023,13,28,376,13.4,0,0,0,,0,28,376,13.4,0
Jalon Calhoun*,Duke,ACC,2023,13,50,666,13.3,4,1,3,3.0,0,51,669,13.1,4
Cam Johnson*,Northwestern,Big Ten,2023,13,54,715,13.2,6,1,8,8.0,0,55,723,13.1,6
Keon Coleman*,Florida State,ACC,2023,12,50,658,13.2,11,1,2,2.0,0,51,660,12.9,11
Lideatrick Griffin,Mississippi State,SEC,2023,12,50,658,13.2,4,17,74,4.4,1,67,732,10.9,5
Abdur-Rahmaan Yaseen,Purdue,Big Ten,2023,6,25,329,13.2,0,0,0,,0,25,329,13.2,0
Sam Brown,Houston,Big 12,2023,12,62,815,13.1,3,0,0,,0,62,815,13.1,3
Konata Mumpfield,Pitt,ACC,2023,12,44,576,13.1,5,1,15,15.0,0,45,591,13.1,5
Jaylin Lane*,Virginia Tech,ACC,2023,12,41,538,13.1,6,14,51,3.6,0,55,589,10.7,6
Dae'Quan Wright*,Virginia Tech,ACC,2023,12,28,366,13.1,0,0,0,,0,28,366,13.1,0
Malik Washington,Virginia,ACC,2023,12,110,1426,13.0,9,3,7,2.3,0,113,1433,12.7,9
Pat Bryant,Illinois,Big Ten,2023,12,43,560,13.0,7,0,0,,0,43,560,13.0,7
Braden Smith,Cincinnati,Big 12,2023,12,43,557,13.0,4,2,0,0.0,0,45,557,12.4,4
Christian Dremel*,Rutgers,Big Ten,2023,13,36,468,13.0,3,0,0,,0,36,468,13.0,3
Isaiah Williams,Illinois,Big Ten,2023,12,82,1055,12.9,5,12,38,3.2,0,94,1093,11.6,5
Cornelius Johnson*,Michigan,Big Ten,2023,15,47,604,12.9,1,3,40,13.3,0,50,644,12.9,1
Jaheim Bell*,Florida State,ACC,2023,13,39,503,12.9,2,4,2,0.5,1,43,505,11.7,3
Xavier Restrepo*,Miami (FL),ACC,2023,13,85,1092,12.8,6,0,0,,0,85,1092,12.8,6
Brock Bowers*,Georgia,SEC,2023,10,56,714,12.8,6,6,28,4.7,1,62,742,12.0,7
Moose Muhammad III*,Texas A&M,SEC,2023,12,27,345,12.8,2,0,0,,0,27,345,12.8,2
Isaiah Washington*,Rutgers,Big Ten,2023,13,25,321,12.8,1,0,0,,0,25,321,12.8,1
Keandre Lambert-Smith*,Penn State,Big Ten,2023,13,53,673,12.7,4,2,0,0.0,0,55,673,12.2,4
Kole Taylor*,West Virginia,Big 12,2023,13,35,444,12.7,4,0,0,,0,35,444,12.7,4
Jaden Bray*,Oklahoma State,Big 12,2023,10,30,382,12.7,2,1,-5,-5.0,0,31,377,12.2,2
Emeka Egbuka*,Ohio State,Big Ten,2023,10,41,515,12.6,4,5,25,5.0,0,46,540,11.7,4
Zavion Thomas,Mississippi State,SEC,2023,11,40,503,12.6,1,12,23,1.9,0,52,526,10.1,1
Darius Lassiter,Brigham Young,Big 12,2023,10,29,365,12.6,4,1,5,5.0,0,30,370,12.3,4
Benjamin Brahmer*,Iowa State,Big 12,2023,13,28,352,12.6,2,0,0,,0,28,352,12.6,2
Joseph Manjack IV,Houston,Big 12,2023,10,46,577,12.5,6,2,-3,-1.5,0,48,574,12.0,6
Barion Brown*,Kentucky,SEC,2023,13,43,539,12.5,4,12,147,12.3,1,55,686,12.5,5
Jaylin Noel*,Iowa State,Big 12,2023,12,66,820,12.4,7,1,-1,-1.0,0,67,819,12.2,7
Lewis Bond*,Boston College,ACC,2023,13,52,646,12.4,7,1,2,2.0,0,53,648,12.2,7
Mookie Cooper*,Missouri,SEC,2023,13,36,447,12.4,0,1,3,3.0,0,37,450,12.2,0
Isaac Rex,Brigham Young,Big 12,2023,12,34,422,12.4,3,0,0,,0,34,422,12.4,3
Tyler Warren*,Penn State,Big Ten,2023,13,34,422,12.4,7,0,0,,0,34,422,12.4,7
Jaylon Robinson,TCU,Big 12,2023,10,32,397,12.4,1,2,-2,-1.0,0,34,395,11.6,1
Noah Thomas*,Texas A&M,SEC,2023,11,29,359,12.4,5,0,0,,0,29,359,12.4,5
Christian Leary*,Georgia Tech,ACC,2023,13,25,309,12.4,2,2,-2,-1.0,0,27,307,11.4,2
Dillon Bell*,Georgia,SEC,2023,14,29,355,12.2,2,25,157,6.3,2,54,512,9.5,4
E.J. Williams,Indiana,Big Ten,2023,8,23,281,12.2,0,0,0,,0,23,281,12.2,0
Squirrel White*,Tennessee,SEC,2023,13,67,803,12.0,2,2,13,6.5,0,69,816,11.8,2
Colbie Young*,Miami (FL),ACC,2023,12,47,563,12.0,5,0,0,,0,47,563,12.0,5
Jordan Whittington*,Texas,Big 12,2023,14,42,505,12.0,1,3,18,6.0,0,45,523,11.6,1
Jerand Bradley*,Texas Tech,Big 12,2023,12,36,431,12.0,4,0,0,,0,36,431,12.0,4
TJ Sheffield,Purdue,Big Ten,2023,11,32,381,11.9,2,0,0,,0,32,381,11.9,2
Donovan Brown*,Syracuse,ACC,2023,13,27,321,11.9,1,1,-3,-3.0,0,28,318,11.4,1
Kevin Concepcion*,North Carolina State,ACC,2023,13,71,839,11.8,10,41,320,7.8,0,112,1159,10.3,10
Nicholas Singleton*,Penn State,Big Ten,2023,13,26,308,11.8,2,171,752,4.4,8,197,1060,5.4,10
John Paul Richardson,TCU,Big 12,2023,12,46,536,11.7,3,3,12,4.0,0,49,548,11.2,3
Maliq Carr,Michigan State,Big Ten,2023,10,30,352,11.7,3,0,0,,0,30,352,11.7,3
Coy Eakin*,Texas Tech,Big 12,2023,10,36,416,11.6,2,1,-1,-1.0,0,37,415,11.2,2
Drake Stoops*,Oklahoma,Big 12,2023,13,84,962,11.5,10,4,8,2.0,0,88,970,11.0,10
