Player,Team,Conf,Year,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards
Arch Manning*,Texas,Big 12,2023,2,2,5,40,30,0,0,0,0,6,6,15,15,90.4,
Braden Smith,Cincinnati,Big 12,2023,12,1,3,33.3,30,0,0,0,0,10,10,30,2.5,117.3,
Evan Simon*,Rutgers,Big Ten,2023,1,2,3,66.7,30,1,33.3,0,0,10,16.67,15,30,260.7,
Dylan Rizk*,UCF,Big 12,2023,1,4,5,80,28,0,0,0,0,5.6,5.6,7,28,127,
Joseph Manjack IV,Houston,Big 12,2023,10,1,2,50,28,1,50,0,0,14,24,28,2.8,332.6,
Cole Kramer*,Minnesota,Big Ten,2023,3,8,17,47.1,26,2,11.8,2,11.8,1.5,-1.41,3.3,8.7,75.2,
Savion Red*,Texas,Big 12,2023,12,1,1,100,25,0,0,0,0,25,25,25,2.1,310,
Deuce Spann*,Florida State,ACC,2023,11,2,2,100,24,0,0,0,0,12,12,12,2.2,200.8,
Ajani Sheppard*,Rutgers,Big Ten,2023,1,2,2,100,23,0,0,0,0,11.5,11.5,11.5,23,196.6,
J.J. Kohl*,Iowa State,Big 12,2023,3,9,11,81.8,23,0,0,0,0,2.1,2.09,2.6,7.7,99.4,
Grady Brosterhous,Virginia,ACC,2023,6,1,1,100,21,0,0,0,0,21,21,21,3.5,276.4,
Jeshaun Jones*,Maryland,Big Ten,2023,13,1,1,100,21,0,0,0,0,21,21,21,1.6,276.4,
Traylon Ray*,West Virginia,Big 12,2023,12,1,1,100,21,0,0,0,0,21,21,21,1.8,276.4,
Zach Pyron*,Georgia Tech,ACC,2023,6,4,8,50,21,0,0,1,12.5,2.6,-3,5.3,3.5,47.1,
Will Pauling*,Wisconsin,Big Ten,2023,13,1,1,100,19,0,0,0,0,19,19,19,1.5,259.6,
Dillon Bell*,Georgia,SEC,2023,14,1,1,100,18,1,100,0,0,18,38,18,1.3,581.2,
Jahmal Banks,Wake Forest,ACC,2023,12,1,1,100,17,0,0,0,0,17,17,17,1.4,242.8,
Kevin Concepcion*,North Carolina State,ACC,2023,13,1,3,33.3,17,1,33.3,0,0,5.7,12.33,17,1.3,190.9,
Luke Doty,South Carolina,SEC,2023,12,2,4,50,17,0,0,0,0,4.3,4.25,8.5,1.4,85.7,
Malachi Thomas*,Virginia Tech,ACC,2023,13,1,1,100,16,1,100,0,0,16,36,16,1.2,564.4,
Micah Leon,Florida,SEC,2023,1,2,3,66.7,16,0,0,0,0,5.3,5.33,8,16,111.5,
Colten Gauthier,South Carolina,SEC,2023,1,1,2,50,15,0,0,0,0,7.5,7.5,15,15,113,
Jordan Watkins*,Ole Miss,SEC,2023,13,1,1,100,15,0,0,0,0,15,15,15,1.2,226,
Isaiah Williams,Illinois,Big Ten,2023,12,1,1,100,14,1,100,0,0,14,34,14,1.2,547.6,
Dylan Lonergan*,Alabama,SEC,2023,1,2,2,100,12,0,0,0,0,6,6,6,12,150.4,
Porter Wilson*,Duke,ACC,2023,13,1,1,100,11,0,0,0,0,11,11,11,0.8,192.4,
Treyson Potts*,Penn State,Big Ten,2023,13,1,1,100,11,1,100,0,0,11,31,11,0.8,522.4,
